mes,Macau,Macau,Macau,Macau,Mossoró,Mossoró,Mossoró,Mossoró,,Reanálise Merra-2 
ano,Prec,UR,temp,Rad,Prec,UR,temp,Rad,,
jun.-08,"70,36","81,12266667","23,09866667","33,315","153,37","81,001","25,76933333","35,00633333",,
jul.-08,"66,95","73,37419355","23,70903226","33,30548387","108,35","80,76483871","25,32193548","35,11967742",,
ago.-08,"73,59","64,24419355","25,09451613","33,01806452","64,39","77,46774194","25,51451613","34,18258065",,
set.-08,"3,26","50,43866667","27,60033333","33,313","28,4","74,18766667","26,25533333","34,41",,
out.-08,"2,46","42,37258065","29,62967742","34,22322581","18,88","71,56516129","26,78290323","34,71483871",,
nov.-08,"2,68","42,36633333","30,115","34,76633333","6,31","70,00966667","27,24","34,675",,
dez.-08,"24,04","46,54419355","29,65741935","35,43580645","12,98","70,25258065","27,48741935","34,76193548",,
jan.-09,"103,84","57,09677419","28,30451613","35,5516129","101,76","73,94","27,3683871","35,22935484",,
fev.-09,"140,43","73,2625","26,04892857","35,39285714","153,19","77,23285714","27,18285714","35,47071429",,
mar.-09,"88,31","75,31741935","26,23516129","35,40032258","156,62","81,12774194","27,06096774","35,87322581",,
abr.-09,"339,75","84,84366667","25,12833333","36,12266667","281,8","83,56133333","26,932","36,40133333",,
mai.-09,"192,79","87,81354839","24,43419355","35,5816129","303,94","85,18483871","26,57677419","36,10806452",,
jun.-09,"137,46","85,958","23,63566667","34,26933333","283,54","84,15533333","26,05066667","35,347",,
jul.-09,"45,46","80,75","23,65774194","33,3983871","146,25","82,40096774","25,66096774","34,45419355",,
ago.-09,"52,06","69,63548387","24,65548387","33,15935484","114,59","80,64096774","25,38967742","33,86677419",,
set.-09,"1,94","54,96133333","27,244","33,395","30,81","77,63966667","25,79966667","33,79866667",,
out.-09,"4,25","45,19677419","29,19870968","34,94870968","1,17","71,96","26,33967742","33,47483871",,
nov.-09,"3,8","44,16633333","29,74733333","34,86366667","8,76","71,74533333","26,92966667","34,49033333",,
dez.-09,"35,83","50,97258065","29,23580645","35,76387097","14,45","74,58677419","27,29483871","35,32290323",,
jan.-10,"109,52","65,02","27,18709677","35,61354839","63,21","76,32612903","27,34516129","35,37129032",,
fev.-10,"52,96","62,83535714","28,08071429","35,7525","49,35","76,82928571","28,04714286","36,15785714",,
mar.-10,"70,07","57,12","29,53677419","35,84193548","47,36","74,35","28,57322581","35,4016129",,
abr.-10,"194,37","76,70133333","26,68","35,917","144,66","79,62566667","28,123","36,46",,
mai.-10,"110,72","70,61451613","26,60129032","35,08741935","91,85","77,15096774","27,8483871","35,57451613",,
jun.-10,"52,71","68,88366667","25,587","34,341","74,92","75,451","27,06266667","34,61966667",,
